County,Total_Cases,Negatives,Deaths,Date
Adams,141,1605,4,2020-05-02
Allegheny,1333,16646,102,2020-05-02
Armstrong,52,710,2,2020-05-02
Beaver,435,2142,68,2020-05-02
Bedford,24,214,1,2020-05-02
Berks,2810,5786,118,2020-05-02
Blair,23,1035,0,2020-05-02
Bradford,35,698,2,2020-05-02
Bucks,3182,8881,237,2020-05-02
Butler,180,2304,6,2020-05-02
Cambria,32,1299,1,2020-05-02
Cameron,1,53,0,2020-05-02
Carbon,182,1096,15,2020-05-02
Centre,96,950,1,2020-05-02
Chester,1469,5609,117,2020-05-02
Clarion,23,493,1,2020-05-02
Clearfield,16,455,0,2020-05-02
Clinton,34,252,0,2020-05-02
Columbia,290,657,13,2020-05-02
Crawford,19,699,0,2020-05-02
Cumberland,365,1585,17,2020-05-02
Dauphin,617,3783,25,2020-05-02
Delaware,3999,9391,255,2020-05-02
Elk,4,171,0,2020-05-02
Erie,90,2034,2,2020-05-02
Fayette,82,1878,4,2020-05-02
Forest,7,30,0,2020-05-02
Franklin,325,3053,8,2020-05-02
Fulton,6,89,0,2020-05-02
Greene,27,429,0,2020-05-02
Huntingdon,48,307,0,2020-05-02
Indiana,63,755,4,2020-05-02
Jefferson,6,322,0,2020-05-02
Juniata,84,161,1,2020-05-02
Lackawanna,968,2656,83,2020-05-02
Lancaster,1904,8148,112,2020-05-02
Lawrence,65,758,6,2020-05-02
Lebanon,710,2724,10,2020-05-02
Lehigh,2896,7508,83,2020-05-02
Luzerne,2211,5229,97,2020-05-02
Lycoming,81,1173,1,2020-05-02
McKean,6,175,0,2020-05-02
Mercer,66,772,1,2020-05-02
Mifflin,38,700,0,2020-05-02
Monroe,1165,2825,55,2020-05-02
Montgomery,4487,17930,369,2020-05-02
Montour,49,2966,0,2020-05-02
Northampton,2182,6548,94,2020-05-02
Northumberland,98,615,0,2020-05-02
Perry,33,233,1,2020-05-02
Philadelphia,12948,29612,422,2020-05-02
Pike,394,1294,15,2020-05-02
Potter,4,84,0,2020-05-02
Schuylkill,384,2136,7,2020-05-02
Snyder,33,204,1,2020-05-02
Somerset,29,621,1,2020-05-02
Sullivan,1,34,0,2020-05-02
Susquehanna,84,302,9,2020-05-02
Tioga,16,256,1,2020-05-02
Union,38,570,0,2020-05-02
Venango,7,256,0,2020-05-02
Warren,1,180,0,2020-05-02
Washington,118,2195,2,2020-05-02
Wayne,104,544,5,2020-05-02
Westmoreland,396,4749,26,2020-05-02
Wyoming,25,175,2,2020-05-02
York,664,7327,11,2020-05-02
