County,Total_Cases,Negatives,Deaths,Date
Adams,145,1633,4,2020-05-03
Allegheny,1345,16851,102,2020-05-03
Armstrong,52,717,2,2020-05-03
Beaver,435,2152,68,2020-05-03
Bedford,24,225,1,2020-05-03
Berks,2886,5948,118,2020-05-03
Blair,24,1079,0,2020-05-03
Bradford,35,708,2,2020-05-03
Bucks,3286,9121,240,2020-05-03
Butler,180,2326,6,2020-05-03
Cambria,33,1382,1,2020-05-03
Cameron,1,54,0,2020-05-03
Carbon,183,1122,15,2020-05-03
Centre,102,1016,1,2020-05-03
Chester,1502,5740,117,2020-05-03
Clarion,23,500,1,2020-05-03
Clearfield,21,474,0,2020-05-03
Clinton,32,270,0,2020-05-03
Columbia,291,693,13,2020-05-03
Crawford,19,708,0,2020-05-03
Cumberland,373,1670,18,2020-05-03
Dauphin,634,3881,28,2020-05-03
Delaware,4113,9723,255,2020-05-03
Elk,4,177,0,2020-05-03
Erie,91,2118,2,2020-05-03
Fayette,83,1908,4,2020-05-03
Forest,7,30,0,2020-05-03
Franklin,351,3120,8,2020-05-03
Fulton,6,92,0,2020-05-03
Greene,27,438,1,2020-05-03
Huntingdon,56,320,0,2020-05-03
Indiana,69,773,4,2020-05-03
Jefferson,6,325,0,2020-05-03
Juniata,86,167,1,2020-05-03
Lackawanna,999,2767,86,2020-05-03
Lancaster,1936,8342,112,2020-05-03
Lawrence,65,767,6,2020-05-03
Lebanon,735,2790,10,2020-05-03
Lehigh,2924,7626,83,2020-05-03
Luzerne,2240,5381,97,2020-05-03
Lycoming,85,1215,2,2020-05-03
McKean,6,183,0,2020-05-03
Mercer,66,785,1,2020-05-03
Mifflin,39,734,0,2020-05-03
Monroe,1172,2880,55,2020-05-03
Montgomery,4552,18185,381,2020-05-03
Montour,50,2966,0,2020-05-03
Northampton,2214,6656,94,2020-05-03
Northumberland,99,639,0,2020-05-03
Perry,34,247,1,2020-05-03
Philadelphia,13179,30370,423,2020-05-03
Pike,405,1316,16,2020-05-03
Potter,4,86,0,2020-05-03
Schuylkill,395,2192,7,2020-05-03
Snyder,33,222,1,2020-05-03
Somerset,29,638,1,2020-05-03
Sullivan,1,37,0,2020-05-03
Susquehanna,85,313,9,2020-05-03
Tioga,16,260,1,2020-05-03
Union,38,584,0,2020-05-03
Venango,7,264,0,2020-05-03
Warren,1,184,0,2020-05-03
Washington,119,2236,2,2020-05-03
Wayne,109,565,5,2020-05-03
Westmoreland,401,4842,26,2020-05-03
Wyoming,25,182,2,2020-05-03
York,679,7459,11,2020-05-03
