Date,County,NumFacilities,Cases_Residents,Cases_Employees,Deaths,NH_TotalCases
2020-05-06,Adams,1,19,4,4,23
2020-05-06,Allegheny,35,311,99,87,410
2020-05-06,Armstrong,1,5,5,1,10
2020-05-06,Beaver,3,307,24,69,331
2020-05-06,Berks,21,553,73,100,626
2020-05-06,Blair,1,1,0,0,1
2020-05-06,Bucks,49,932,189,233,1121
2020-05-06,Butler,5,12,10,2,22
2020-05-06,Cambria,1,1,0,0,1
2020-05-06,Carbon,2,48,5,12,53
2020-05-06,Centre,3,10,5,0,15
2020-05-06,Chester,32,522,70,134,592
2020-05-06,Clarion,1,1,1,0,2
2020-05-06,Clearfield,2,2,0,0,2
2020-05-06,Columbia,2,84,28,19,112
2020-05-06,Cumberland,4,183,46,23,229
2020-05-06,Dauphin,3,143,30,21,173
2020-05-06,Delaware,42,1077,165,245,1242
2020-05-06,Erie,4,3,2,0,5
2020-05-06,Fayette,1,3,0,1,3
2020-05-06,Franklin,6,52,7,2,59
2020-05-06,Indiana,3,13,1,4,14
2020-05-06,Lackawanna,13,450,63,88,513
2020-05-06,Lancaster,27,467,119,121,586
2020-05-06,Lawrence,2,0,2,0,2
2020-05-06,Lebanon,5,56,9,9,65
2020-05-06,Lehigh,26,463,88,69,551
2020-05-06,Luzerne,17,315,49,71,364
2020-05-06,Lycoming,2,29,7,3,36
2020-05-06,Mercer,1,1,0,0,1
2020-05-06,Mifflin,2,1,1,0,2
2020-05-06,Monroe,8,129,28,25,157
2020-05-06,Montgomery,81,1589,49,381,1638
2020-05-06,Northampton,13,542,124,78,666
2020-05-06,Philadelphia,53,1430,7,261,1437
2020-05-06,Pike,2,29,4,5,33
2020-05-06,Schuylkill,7,37,9,1,46
2020-05-06,Susquehanna,3,44,13,11,57
2020-05-06,Union,1,0,1,0,1
2020-05-06,Washington,3,6,2,1,8
2020-05-06,Wayne,1,0,1,0,1
2020-05-06,Westmoreland,9,131,30,26,161
2020-05-06,York,4,9,2,1,11
