County,NumFacilities,Cases_Residents,Cases_Employees,Deaths,Date
ADAMS,1,17,4,4,5/2/20
ALLEGHENY,33,291,93,79,5/2/20
ARMSTRONG,1,4,4,0,5/2/20
BEAVER,2,281,22,61,5/2/20
BERKS,20,490,65,75,5/2/20
BUCKS,47,781,147,175,5/2/20
BUTLER,5,12,10,2,5/2/20
CAMBRIA,1,1,.,0,5/2/20
CARBON,2,45,4,12,5/2/20
CENTRE,2,3,2,0,5/2/20
CHESTER,29,434,47,103,5/2/20
CLARION,1,1,1,0,5/2/20
CLEARFIELD,2,2,.,0,5/2/20
COLUMBIA,2,78,25,17,5/2/20
CUMBERLAND,4,169,42,16,5/2/20
DAUPHIN,4,102,20,17,5/2/20
DELAWARE,43,894,129,192,5/2/20
ERIE,4,3,2,0,5/2/20
FAYETTE,1,3,.,1,5/2/20
FRANKLIN,5,30,5,2,5/2/20
INDIANA,2,12,1,4,5/2/20
LACKAWANNA,13,384,57,66,5/2/20
LANCASTER,27,420,107,89,5/2/20
LAWRENCE,2,0,2,0,5/2/20
LEBANON,4,42,6,5,5/2/20
LEHIGH,23,403,76,56,5/2/20
LUZERNE,16,290,35,64,5/2/20
LYCOMING,2,23,3,0,5/2/20
MERCER,1,1,.,0,5/2/20
MIFFLIN,2,1,1,0,5/2/20
MONROE,8,123,28,22,5/2/20
MONTGOMERY,78,1415,45,294,5/2/20
NORTHAMPTON,11,490,106,55,5/2/20
NORTHUMBERLAND,1,6,2,0,5/2/20
PHILADELPHIA,52,1347,4,164,5/2/20
PIKE,2,23,4,5,5/2/20
SCHUYLKILL,5,19,1,0,5/2/20
SUSQUEHANNA,3,44,12,9,5/2/20
UNION,1,0,1,0,5/2/20
WASHINGTON,3,6,2,1,5/2/20
WAYNE,1,0,1,0,5/2/20
WESTMORELAND,8,129,30,23,5/2/20
YORK,4,8,2,1,5/2/20
